Particle Z-Coordinate,Particle Mass,Particle X-Coordinate,Particle ID,Particle Y-Coordinate
time (s) = 0.0
time (s) = 0.1
 4.43035e-03, 5.22656e-07,-2.32822e-03, 1.14000e+02,-4.39720e-04
time (s) = 0.4
 2.22185e-03, 5.22656e-07, 5.49246e-03, 0.00000e+00, 1.99101e-02
 8.01674e-03, 5.22656e-07, 1.48103e-03, 1.00000e+00, 1.95761e-02
 1.26108e-02, 5.22656e-07,-1.75135e-03, 2.00000e+00, 1.77232e-02
-8.09534e-03, 5.22656e-07, 6.46766e-03, 3.00000e+00, 1.92000e-02
 8.12859e-03, 5.22656e-07, 9.45040e-03, 4.00000e+00, 1.85569e-02
-1.09275e-02, 5.22656e-07,-1.26278e-04, 5.00000e+00, 1.91037e-02
 6.41424e-03, 5.22656e-07, 1.72586e-02, 6.00000e+00, 1.49491e-02
-6.00459e-03, 5.22656e-07,-8.16250e-03, 7.00000e+00, 1.90240e-02
-7.87865e-03, 5.22656e-07,-7.39988e-03, 8.00000e+00, 1.86519e-02
 4.56856e-03, 5.22656e-07, 6.11914e-04, 9.00000e+00, 1.87544e-02
-1.63219e-02, 5.22656e-07, 8.61720e-03, 1.00000e+01, 1.90032e-02
-2.69938e-03, 5.22656e-07, 1.63479e-02, 1.10000e+01, 1.83174e-02
-1.15062e-02, 5.22656e-07, 5.76990e-03, 1.20000e+01, 2.06249e-02
-6.77256e-03, 5.22656e-07, 2.55231e-03, 1.30000e+01, 1.78957e-02
 5.81804e-05, 5.22656e-07,-4.35038e-03, 1.40000e+01, 1.81104e-02
-5.14983e-03, 5.22656e-07, 9.43725e-03, 1.50000e+01, 1.76839e-02
-9.92091e-03, 5.22656e-07, 6.34947e-03, 1.60000e+01, 1.77341e-02
 3.26217e-03, 5.22656e-07,-2.62177e-03, 1.70000e+01, 1.77776e-02
-3.39767e-03, 5.22656e-07,-1.15043e-02, 1.80000e+01, 1.75655e-02
 8.92389e-03, 5.22656e-07,-7.06909e-03, 1.90000e+01, 1.69782e-02
-9.50569e-03, 5.22656e-07,-4.45733e-03, 2.00000e+01, 1.66863e-02
-4.11711e-05, 5.22656e-07, 5.01917e-03, 2.10000e+01, 1.72491e-02
-1.07444e-02, 5.22656e-07, 1.14063e-02, 2.20000e+01, 1.82791e-02
-1.85527e-02, 5.22656e-07,-8.21960e-05, 2.30000e+01, 5.01724e-03
-1.27991e-03, 5.22656e-07, 5.99375e-04, 2.40000e+01, 1.67051e-02
-1.76618e-02, 5.22656e-07, 5.41511e-03, 2.60000e+01, 5.02148e-03
-5.29604e-03, 5.22656e-07,-1.07165e-02, 2.70000e+01, 1.65943e-02
 5.45495e-03, 5.22656e-07, 1.56025e-02, 2.80000e+01, 1.56654e-02
-1.37767e-02, 5.22656e-07, 1.86431e-03, 2.90000e+01, 1.84988e-02
-1.06814e-02, 5.22656e-07,-4.61173e-03, 3.00000e+01, 1.52744e-02
 1.05394e-02, 5.22656e-07,-9.53024e-03, 3.10000e+01, 1.44443e-02
 1.11923e-02, 5.22656e-07,-2.01315e-03, 3.20000e+01, 1.40468e-02
-1.06117e-02, 5.22656e-07, 9.15227e-03, 3.30000e+01, 1.77015e-02
-1.13535e-03, 5.22656e-07, 1.82568e-03, 3.40000e+01, 1.54468e-02
-3.53263e-03, 5.22656e-07, 1.79663e-02, 3.50000e+01, 1.41652e-02
 2.35002e-03, 5.22656e-07,-3.36175e-03, 3.60000e+01, 1.52593e-02
-8.96375e-03, 5.22656e-07, 9.39327e-03, 3.70000e+01, 1.54533e-02
-8.46225e-03, 5.22656e-07, 8.12578e-04, 3.80000e+01, 1.45981e-02
-1.31467e-02, 5.22656e-07, 1.30913e-02, 3.90000e+01, 4.98644e-03
-1.60859e-02, 5.22656e-07, 9.24801e-03, 4.00000e+01, 4.97350e-03
 1.00236e-02, 5.22656e-07, 3.29298e-03, 4.10000e+01, 1.33463e-02
-5.90381e-03, 5.22656e-07,-7.59076e-03, 4.20000e+01, 1.42017e-02
-3.94995e-03, 5.22656e-07, 1.36741e-02, 4.30000e+01, 1.57584e-02
-1.43666e-04, 5.22656e-07,-1.06697e-02, 4.40000e+01, 1.39744e-02
-2.64144e-03, 5.22656e-07, 1.58899e-02, 4.50000e+01, 1.37879e-02
-1.62585e-02, 5.22656e-07, 8.82431e-03, 4.60000e+01, 4.56426e-03
-1.06450e-02, 5.22656e-07, 5.41086e-03, 4.70000e+01, 1.35034e-02
-1.82577e-03, 5.22656e-07, 8.59129e-03, 4.80000e+01, 1.36335e-02
-8.69908e-03, 5.22656e-07,-1.41960e-02, 4.90000e+01, 1.37765e-02
-2.10318e-03, 5.22656e-07, 1.87842e-03, 5.00000e+01, 1.31480e-02
-1.75650e-03, 5.22656e-07, 1.07655e-02, 5.10000e+01, 1.33464e-02
-1.55315e-02, 5.22656e-07, 6.46056e-03, 5.20000e+01, 1.44841e-02
-1.60081e-02, 5.22656e-07,-9.38226e-03, 5.40000e+01, 5.01557e-03
-7.45781e-03, 5.22656e-07,-1.68165e-02, 5.50000e+01, 1.23191e-02
-1.78982e-02, 5.22656e-07,-4.88476e-03, 5.60000e+01, 5.00732e-03
 1.03722e-02, 5.22656e-07,-1.29687e-02, 5.70000e+01, 1.06039e-02
-6.69929e-03, 5.22656e-07,-1.12577e-02, 5.90000e+01, 1.28459e-02
-1.72780e-02, 5.22656e-07,-5.01739e-04, 6.00000e+01, 1.26071e-02
-8.19615e-03, 5.22656e-07,-5.16317e-03, 6.10000e+01, 1.11135e-02
-1.81108e-02, 5.22656e-07,-3.35652e-03, 6.20000e+01, 9.97890e-03
 1.52593e-03, 5.22656e-07,-1.25287e-02, 6.30000e+01, 1.16347e-02
 1.06136e-02, 5.22656e-07, 1.41950e-03, 6.40000e+01, 1.07151e-02
 8.49819e-03, 5.22656e-07,-9.01160e-03, 6.50000e+01, 9.88048e-03
-1.50740e-02, 5.22656e-07, 1.44603e-03, 6.60000e+01, 1.26952e-02
 2.41478e-03, 5.22656e-07,-9.59142e-03, 6.80000e+01, 1.08496e-02
-5.80553e-03, 5.22656e-07, 1.06413e-02, 6.90000e+01, 1.08587e-02
-7.86890e-03, 5.22656e-07, 1.29000e-02, 7.00000e+01, 1.11979e-02
-8.82601e-03, 5.22656e-07,-6.92137e-03, 7.10000e+01, 9.92208e-03
 3.25405e-03, 5.22656e-07, 6.04072e-03, 7.20000e+01, 1.03865e-02
-5.20165e-04, 5.22656e-07, 1.21018e-02, 7.30000e+01, 1.04234e-02
-8.65246e-03, 5.22656e-07, 1.52113e-02, 7.40000e+01, 1.02274e-02
-9.05371e-03, 5.22656e-07, 5.06233e-03, 7.50000e+01, 9.59479e-03
-1.21735e-02, 5.22656e-07, 1.09019e-03, 7.60000e+01, 1.00011e-02
-1.13578e-02, 5.22656e-07,-6.78402e-04, 7.70000e+01, 9.42737e-03
 3.88669e-03, 5.22656e-07, 1.49013e-02, 7.80000e+01, 9.31883e-03
 7.23074e-03, 5.22656e-07,-9.90366e-03, 7.90000e+01, 8.60939e-03
 5.37122e-03, 5.22656e-07, 1.06092e-02, 8.00000e+01, 9.21033e-03
 2.21267e-03, 5.22656e-07,-2.64623e-03, 8.10000e+01, 9.05974e-03
